,district,meter,built_year,price_per_meter,room,elevator,parking,storage,floor_en,total_floor,district_code
15761,اباذر,84,1394,43095000.0,2,1.0,1.0,1.0,3,3,11
15762,اباذر,85,1393,52765000.0,2,1.0,1.0,1.0,5,5,11
15763,اباذر,81,1381,45247000.0,2,1.0,1.0,1.0,5,5,11
15764,اباذر,59,1381,45508000.0,1,1.0,1.0,1.0,0,0,11
15765,اباذر,58,1386,44828000.0,1,1.0,1.0,1.0,1,1,11
15766,اباذر,59,1384,47797000.0,1,1.0,1.0,1.0,1,1,11
15767,اباذر,80,1398,55000000.0,2,1.0,1.0,1.0,3,3,11
15768,اباذر,93,1393,53763000.0,2,1.0,1.0,1.0,4,5,11
15770,اباذر,196,1383,41837000.0,5,1.0,1.0,1.0,1,5,11
15771,اباذر,58,1383,45172000.0,1,1.0,1.0,1.0,1,1,11
15772,اباذر,111,1383,45045000.0,3,0.0,1.0,1.0,2,4,11
15773,اباذر,210,1384,42143000.0,5,1.0,1.0,1.0,1,1,11
15774,اباذر,69,1381,31884000.0,2,0.0,1.0,1.0,1,1,11
15775,اباذر,81,1392,57000000.0,2,1.0,1.0,1.0,2,5,11
15776,اباذر,200,1386,50750000.0,5,1.0,1.0,1.0,1,5,11
15777,اباذر,115,1398,66957000.0,2,1.0,1.0,1.0,5,5,11
15779,اباذر,50,1383,39980000.0,1,0.0,0.0,1.0,4,4,11
15780,اباذر,199,1388,43970000.0,3,1.0,1.0,1.0,5,5,11
15781,اباذر,135,1384,45185000.0,3,1.0,1.0,1.0,1,1,11
15782,اباذر,140,1392,62000000.0,3,1.0,1.0,1.0,2,2,11
15783,اباذر,75,1384,36000000.0,2,0.0,1.0,1.0,3,3,11
15784,اباذر,75,1386,40000000.0,2,1.0,1.0,1.0,2,2,11
15785,اباذر,72,1383,46944000.0,2,1.0,1.0,1.0,1,1,11
15786,اباذر,97,1391,49485000.0,2,1.0,1.0,1.0,4,5,11
15787,اباذر,130,1389,55385000.0,2,1.0,1.0,1.0,2,2,11
15788,اباذر,280,1400,71429000.0,5,1.0,1.0,1.0,5,5,11
15790,اباذر,114,1399,64035000.0,2,1.0,1.0,1.0,4,4,11
15792,اباذر,122,1381,38426000.0,3,1.0,1.0,1.0,1,1,11
15793,اباذر,86,1392,52267000.0,2,1.0,1.0,1.0,5,5,11
15794,اباذر,85,1396,56353000.0,2,1.0,1.0,1.0,4,5,11
15795,اباذر,57,1381,45614000.0,1,1.0,1.0,1.0,0,0,11
15796,اباذر,78,1388,49295000.0,2,1.0,1.0,1.0,1,1,11
